"DATE","TIME PERIOD","HICP - Actual rentals for housing (ICP.M.DE.N.041000.4.INX)"
"1996-01-31","1996Jan","78.6"
"1996-02-29","1996Feb","78.8"
"1996-03-31","1996Mar","79.0"
"1996-04-30","1996Apr","79.0"
"1996-05-31","1996May","79.2"
"1996-06-30","1996Jun","79.4"
"1996-07-31","1996Jul","79.4"
"1996-08-31","1996Aug","79.6"
"1996-09-30","1996Sep","79.8"
"1996-10-31","1996Oct","80.0"
"1996-11-30","1996Nov","80.1"
"1996-12-31","1996Dec","80.3"
"1997-01-31","1997Jan","80.8"
"1997-02-28","1997Feb","81.0"
"1997-03-31","1997Mar","81.2"
"1997-04-30","1997Apr","81.3"
"1997-05-31","1997May","81.4"
"1997-06-30","1997Jun","81.5"
"1997-07-31","1997Jul","81.6"
"1997-08-31","1997Aug","81.7"
"1997-09-30","1997Sep","81.7"
"1997-10-31","1997Oct","81.8"
"1997-11-30","1997Nov","81.9"
"1997-12-31","1997Dec","82.0"
"1998-01-31","1998Jan","82.1"
"1998-02-28","1998Feb","82.2"
"1998-03-31","1998Mar","82.2"
"1998-04-30","1998Apr","82.4"
"1998-05-31","1998May","82.4"
"1998-06-30","1998Jun","82.4"
"1998-07-31","1998Jul","82.4"
"1998-08-31","1998Aug","82.5"
"1998-09-30","1998Sep","82.6"
"1998-10-31","1998Oct","82.7"
"1998-11-30","1998Nov","82.7"
"1998-12-31","1998Dec","82.8"
"1999-01-31","1999Jan","82.8"
"1999-02-28","1999Feb","82.9"
"1999-03-31","1999Mar","83.0"
"1999-04-30","1999Apr","83.1"
"1999-05-31","1999May","83.2"
"1999-06-30","1999Jun","83.2"
"1999-07-31","1999Jul","83.3"
"1999-08-31","1999Aug","83.4"
"1999-09-30","1999Sep","83.4"
"1999-10-31","1999Oct","83.5"
"1999-11-30","1999Nov","83.6"
"1999-12-31","1999Dec","83.6"
"2000-01-31","2000Jan","83.7"
"2000-02-29","2000Feb","83.9"
"2000-03-31","2000Mar","83.9"
"2000-04-30","2000Apr","84.0"
"2000-05-31","2000May","84.1"
"2000-06-30","2000Jun","84.1"
"2000-07-31","2000Jul","84.3"
"2000-08-31","2000Aug","84.3"
"2000-09-30","2000Sep","84.3"
"2000-10-31","2000Oct","84.4"
"2000-11-30","2000Nov","84.5"
"2000-12-31","2000Dec","84.6"
"2001-01-31","2001Jan","84.7"
"2001-02-28","2001Feb","84.8"
"2001-03-31","2001Mar","84.8"
"2001-04-30","2001Apr","84.9"
"2001-05-31","2001May","84.9"
"2001-06-30","2001Jun","85.0"
"2001-07-31","2001Jul","85.1"
"2001-08-31","2001Aug","85.3"
"2001-09-30","2001Sep","85.3"
"2001-10-31","2001Oct","85.4"
"2001-11-30","2001Nov","85.4"
"2001-12-31","2001Dec","85.5"
"2002-01-31","2002Jan","85.7"
"2002-02-28","2002Feb","86.0"
"2002-03-31","2002Mar","86.1"
"2002-04-30","2002Apr","86.2"
"2002-05-31","2002May","86.2"
"2002-06-30","2002Jun","86.3"
"2002-07-31","2002Jul","86.3"
"2002-08-31","2002Aug","86.4"
"2002-09-30","2002Sep","86.5"
"2002-10-31","2002Oct","86.5"
"2002-11-30","2002Nov","86.6"
"2002-12-31","2002Dec","86.7"
"2003-01-31","2003Jan","86.8"
"2003-02-28","2003Feb","86.9"
"2003-03-31","2003Mar","87.0"
"2003-04-30","2003Apr","87.1"
"2003-05-31","2003May","87.2"
"2003-06-30","2003Jun","87.2"
